 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2022-Jan-09 10:00, , , 34.1928210846193, -8.9210616,  179.4050,
 2022-Jan-09 11:00, , , 34.1926066526383, -8.9003795,  179.4050,
 2022-Jan-09 12:00, , , 34.1923927184124, -8.8796932,  179.4051,
 2022-Jan-09 13:00, , , 34.1921792820463, -8.8590024,  179.4051,
 2022-Jan-09 14:00, , , 34.1919663436444, -8.8383074,  179.4051,
 2022-Jan-09 15:00, , , 34.1917539033107, -8.8176080,  179.4052,
 2022-Jan-09 16:00, , , 34.1915419611490, -8.7969043,  179.4052,
 2022-Jan-09 17:00, , , 34.1913305172629, -8.7761963,  179.4052,
 2022-Jan-09 18:00, , , 34.1911195717554, -8.7554840,  179.4053,
 2022-Jan-09 19:00, , , 34.1909091247297, -8.7347675,  179.4053,
 2022-Jan-09 20:00, , , 34.1906991762881, -8.7140467,  179.4054,
 2022-Jan-09 21:00, , , 34.1904897265333, -8.6933216,  179.4054,
 2022-Jan-09 22:00, , , 34.1902807755670, -8.6725924,  179.4054,
 2022-Jan-09 23:00, , , 34.1900723234912, -8.6518589,  179.4055,
 2022-Jan-10 00:00, , , 34.1898643704072, -8.6311212,  179.4055,
 2022-Jan-10 01:00, , , 34.1896569164163, -8.6103792,  179.4055,
 2022-Jan-10 02:00, , , 34.1894499616194, -8.5896331,  179.4056,
 2022-Jan-10 03:00, , , 34.1892435061171, -8.5688829,  179.4056,
 2022-Jan-10 04:00, , , 34.1890375500098, -8.5481284,  179.4056,
 2022-Jan-10 05:00, , , 34.1888320933974, -8.5273698,  179.4057,
 2022-Jan-10 06:00, , , 34.1886271363799, -8.5066071,  179.4057,
 2022-Jan-10 07:00, , , 34.1884226790566, -8.4858403,  179.4057,
 2022-Jan-10 08:00, , , 34.1882187215269, -8.4650693,  179.4058,
 2022-Jan-10 09:00, , , 34.1880152638896, -8.4442942,  179.4058,
 2022-Jan-10 10:00, , , 34.1878123062436, -8.4235150,  179.4059,
 2022-Jan-10 11:00, , , 34.1876098486869, -8.4027318,  179.4059,
 2022-Jan-10 12:00, , , 34.1874078913180, -8.3819444,  179.4059,
 2022-Jan-10 13:00, , , 34.1872064342346, -8.3611530,  179.4060,
 2022-Jan-10 14:00, , , 34.1870054775343, -8.3403576,  179.4060,
 2022-Jan-10 15:00, , , 34.1868050213143, -8.3195581,  179.4060,
 2022-Jan-10 16:00, , , 34.1866050656718, -8.2987546,  179.4061,
 2022-Jan-10 17:00, , , 34.1864056107034, -8.2779471,  179.4061,
 2022-Jan-10 18:00, , , 34.1862066565058, -8.2571355,  179.4061,
 2022-Jan-10 19:00, , , 34.1860082031750, -8.2363200,  179.4062,
 2022-Jan-10 20:00, , , 34.1858102508071, -8.2155005,  179.4062,
 2022-Jan-10 21:00, , , 34.1856127994977, -8.1946771,  179.4062,
 2022-Jan-10 22:00, , , 34.1854158493423, -8.1738496,  179.4063,
 2022-Jan-10 23:00, , , 34.1852194004360, -8.1530182,  179.4063,
 2022-Jan-11 00:00, , , 34.1850234528737, -8.1321829,  179.4063,
 2022-Jan-11 01:00, , , 34.1848280067500, -8.1113437,  179.4064,
 2022-Jan-11 02:00, , , 34.1846330621593, -8.0905005,  179.4064,
 2022-Jan-11 03:00, , , 34.1844386191957, -8.0696535,  179.4065,
 2022-Jan-11 04:00, , , 34.1842446779531, -8.0488025,  179.4065,
 2022-Jan-11 05:00, , , 34.1840512385249, -8.0279477,  179.4065,
 2022-Jan-11 06:00, , , 34.1838583010045, -8.0070889,  179.4066,
 2022-Jan-11 07:00, , , 34.1836658654850, -7.9862264,  179.4066,
 2022-Jan-11 08:00, , , 34.1834739320591, -7.9653599,  179.4066,
 2022-Jan-11 09:00, , , 34.1832825008194, -7.9444897,  179.4067,
 2022-Jan-11 10:00, , , 34.1830915718581, -7.9236156,  179.4067,
 2022-Jan-11 11:00, , , 34.1829011452673, -7.9027377,  179.4067,
 2022-Jan-11 12:00, , , 34.1827112211386, -7.8818560,  179.4068,
 2022-Jan-11 13:00, , , 34.1825217995637, -7.8609704,  179.4068,
 2022-Jan-11 14:00, , , 34.1823328806336, -7.8400811,  179.4068,
 2022-Jan-11 15:00, , , 34.1821444644395, -7.8191881,  179.4069,
 2022-Jan-11 16:00, , , 34.1819565510720, -7.7982912,  179.4069,
 2022-Jan-11 17:00, , , 34.1817691406217, -7.7773906,  179.4070,
 2022-Jan-11 18:00, , , 34.1815822331786, -7.7564863,  179.4070,
 2022-Jan-11 19:00, , , 34.1813958288329, -7.7355782,  179.4070,
 2022-Jan-11 20:00, , , 34.1812099276741, -7.7146664,  179.4071,
 2022-Jan-11 21:00, , , 34.1810245297918, -7.6937509,  179.4071,
 2022-Jan-11 22:00, , , 34.1808396352751, -7.6728317,  179.4071,
 2022-Jan-11 23:00, , , 34.1806552442130, -7.6519088,  179.4072,
 2022-Jan-12 00:00, , , 34.1804713566942, -7.6309822,  179.4072,
 2022-Jan-12 01:00, , , 34.1802879728072, -7.6100520,  179.4072,
 2022-Jan-12 02:00, , , 34.1801050926401, -7.5891180,  179.4073,
 2022-Jan-12 03:00, , , 34.1799227162808, -7.5681805,  179.4073,
 2022-Jan-12 04:00, , , 34.1797408438172, -7.5472393,  179.4073,
 2022-Jan-12 05:00, , , 34.1795594753366, -7.5262945,  179.4074,
 2022-Jan-12 06:00, , , 34.1793786109262, -7.5053460,  179.4074,
 2022-Jan-12 07:00, , , 34.1791982506730, -7.4843940,  179.4074,
 2022-Jan-12 08:00, , , 34.1790183946636, -7.4634383,  179.4075,
 2022-Jan-12 09:00, , , 34.1788390429846, -7.4424791,  179.4075,
 2022-Jan-12 10:00, , , 34.1786601957222, -7.4215162,  179.4076,
 2022-Jan-12 11:00, , , 34.1784818529623, -7.4005499,  179.4076,
 2022-Jan-12 12:00, , , 34.1783040147906, -7.3795799,  179.4076,
 2022-Jan-12 13:00, , , 34.1781266812926, -7.3586064,  179.4077,
 2022-Jan-12 14:00, , , 34.1779498525536, -7.3376294,  179.4077,
 2022-Jan-12 15:00, , , 34.1777735286585, -7.3166489,  179.4077,
 2022-Jan-12 16:00, , , 34.1775977096921, -7.2956648,  179.4078,
 2022-Jan-12 17:00, , , 34.1774223957388, -7.2746772,  179.4078,
 2022-Jan-12 18:00, , , 34.1772475868830, -7.2536861,  179.4078,
 2022-Jan-12 19:00, , , 34.1770732832087, -7.2326916,  179.4079,
 2022-Jan-12 20:00, , , 34.1768994847995, -7.2116936,  179.4079,
 2022-Jan-12 21:00, , , 34.1767261917391, -7.1906921,  179.4079,
 2022-Jan-12 22:00, , , 34.1765534041108, -7.1696871,  179.4080,
 2022-Jan-12 23:00, , , 34.1763811219976, -7.1486787,  179.4080,
 2022-Jan-13 00:00, , , 34.1762093454824, -7.1276669,  179.4081,
 2022-Jan-13 01:00, , , 34.1760380746476, -7.1066516,  179.4081,
 2022-Jan-13 02:00, , , 34.1758673095758, -7.0856329,  179.4081,
 2022-Jan-13 03:00, , , 34.1756970503488, -7.0646108,  179.4082,
 2022-Jan-13 04:00, , , 34.1755272970487, -7.0435853,  179.4082,
